node_id,name
0,
1,03 tron—translationale onkologie an der univ der johannes gutenberg—universitaet mainz
2,10x genomics inc
3,2seventy bio inc
4,a science invest ab
5,a3d gmbh
6,aadigen llc
7,aagaard lars
8,aalto univ foundation sr
9,aartsma-rus annemieke
10,abalos therapeutic gmbh
11,abbvie deutschland
12,abbvie inc
13,abdollahi amir
14,abela irene
15,abgenix inc
16,abgenomics coop u a
17,abid amr
18,abivax
19,ablynx nv
20,aboody karen s
21,abrahamsen niels
22,abresearch s r l
23,abtco b v
24,abviris deutschland gmbh
25,acad ziekenhuis leiden a/u leiden uni medical ctr
26,acad zikenhuis leiden
27,academisch ziekenhuis groningen
28,academisch ziekenhuis leiden
29,accanis biotech f e gmbh co kg
30,acebo pais paloma
31,acerta pharma bv
32,acerta pharma llc
33,aceto nicola
34,achsel tilmann
35,acres bruce
36,active biotech ab
37,active motif
38,acunzo julie
39,adamed sp zoo
40,adami roger c
41,adiu tide pharmaceuticals gmbh
42,admyre charlotte
43,advanced accelerator applic
44,advanced accelerator applications s a
45,advanced in vitro cell tech
46,advanced res tech inst
47,aelin therapeutic
48,aerek barttomie maciej
49,affibody ab
50,affilogic
51,affinito alessadra
52,agami reuven
53,agas dimitrios
54,agatsuma toshinori
55,agency for science tech and research astarstar
56,agency science tech res
57,agronomique inst nat rech
58,ags m sas
59,ags therapeutic sas
60,aharinejad seyedhossein
61,aharoni amir
62,ahmadvand davoud
63,ahmed kariem
64,ahonen marko
65,ahonen matti
66,ahorn horst
67,aicuris gmbh co kg
68,aidinis vassilios
69,aigle bertrand
70,ait austrian inst tech gmbh
71,ait-si-ali slimane
72,akhade vijay suresh
73,al-mahmood salman
74,ala-aho risto
75,alauddin mian
76,alberti saverio
77,albumedix as
78,albumedix ltd
79,alderaan biotechnology
80,alemany ramon
81,alexander knuth
82,algate paul a
83,ali mohamad moustafa mahmoud
84,alia therapeutic s r l
85,alitalo kari
86,alk abello as
87,alkermes pharma ireland ltd
88,allan elizabeth
89,allen danny
90,allgayer heike
91,alligator bioscience ab
92,allory yves
93,alma mater studiorum – univ di bologna
94,alma mater studiorum—universita' di bologna
95,almog nava
96,alnylam europe ag
97,alnylam pharmaceuticals inc
98,alonso-bedate carlos
99,altevogt peter
100,altheia science s r l
101,altrabio
102,alvarez carlos canto
103,alvarez eva
104,amarna holding b v
105,amendola mario
106,amgen fremont inc
107,amgen inc
108,amgen res munich gmbh
109,amici augusto
110,amin niranjana d
111,amson robert
112,amunix pharmaceuticals inc
113,an individual
114,anaconda pharma
115,andersen jan terje
116,andersen mikkel h
117,andersen mikkel holmen
118,andersson john
119,andersson patrik
120,andre fabrice
121,andreakos evangelos
122,andreasen peter a
123,andreeff michael
124,andremacon s r l
125,andresen thomas lars
126,andresen vibeke
127,andries koenraad jozef lodewij
128,andrieu claudia
129,angeletti p ist richerche bio
130,angewandten forschung e v
131,angiogenetics sweden ab
132,ann and robert h lurie childrens hospital of chicago
133,ann robert h lurie childrens hosp of chicago
134,anne jozef
135,anro valentina
136,ansseau eugenie
137,antisense pharma gmbh
138,antonsson per
139,antopolsky maxim
140,antwerpes innovatiecentrum nv
141,aouadi myriam
142,apalexo biotechnologie gmbh
143,aparicio perez tomas
144,apceth gmbh co kg
145,apcure sas
146,apeiron biologics ag
147,apeler heiner
148,apfel heiko
149,apogenix ag
150,apogenix gmbh
151,applied research system
152,aprea ab
153,aptahem ab
154,aptarion biotech ag
